name,family,alpha,window_size,phase,balance_score,balance_spread,complexity_ratio,complexity_deviation,periodicity_match,best_period,compression_score,tradeoff_score
rational_2_3,rational_approx,0.6666666666666666,0.2,0.0,1.0,0.0,0.0454324106174196,0.8472605677151133,1.0,1,45.010989010989015,3.6279042674497215
rational_2_3,rational_approx,0.6666666666666666,0.2,0.17,1.0,0.0,0.0454324106174196,0.8472605677151133,1.0,1,45.010989010989015,3.6279042674497215
rational_2_3,rational_approx,0.6666666666666666,0.2,0.31,1.0,0.0,0.0454324106174196,0.8472605677151133,1.0,1,45.010989010989015,3.6279042674497215
rational_2_3,rational_approx,0.6666666666666666,0.34,0.0,1.0,1.0,0.1362972318522588,0.5417817031453395,0.3333333333333333,3,26.425806451612903,3.4046053936288536
rational_2_3,rational_approx,0.6666666666666666,0.34,0.17,1.0,1.0,0.1362972318522588,0.5417817031453395,0.3333333333333333,3,26.425806451612903,3.4046053936288536
rational_2_3,rational_approx,0.6666666666666666,0.34,0.31,1.0,1.0,0.1362972318522588,0.5417817031453395,0.3333333333333333,3,26.425806451612903,3.4046053936288536
rational_2_3,rational_approx,0.6666666666666666,0.47,0.0,1.0,1.0,0.1362972318522588,0.5417817031453395,0.3333333333333333,3,26.425806451612903,3.4046053936288536
rational_2_3,rational_approx,0.6666666666666666,0.47,0.17,1.0,1.0,0.1362972318522588,0.5417817031453395,0.3333333333333333,3,26.425806451612903,3.4046053936288536
rational_2_3,rational_approx,0.6666666666666666,0.47,0.31,1.0,1.0,0.1362972318522588,0.5417817031453395,0.3333333333333333,3,26.425806451612903,3.4046053936288536
rational_3_5,rational_approx,0.6,0.2,0.0,1.0,1.0,0.17034387126891623,0.3196361719088992,0.2,5,16.891753837314496,4.003740135650818
rational_3_5,rational_approx,0.6,0.2,0.17,0.8181818181818182,2.0,0.17882232886739177,0.1717330649148831,0.0,257,16.891753837314496,4.354370515372107
rational_3_5,rational_approx,0.6,0.2,0.31,1.0,1.0,0.17034387126891623,0.3196361719088992,0.2,5,16.891753837314496,4.003740135650818
rational_3_5,rational_approx,0.6,0.34,0.0,1.0,1.0,0.17034387126891623,0.3196361719088992,0.2,5,16.891753837314496,4.003740135650818
rational_3_5,rational_approx,0.6,0.34,0.17,1.0,1.0,0.17034387126891623,0.3196361719088992,0.2,5,16.891753837314496,4.003740135650818
rational_3_5,rational_approx,0.6,0.34,0.31,1.0,1.0,0.17034387126891623,0.3196361719088992,0.2,5,16.891753837314496,4.003740135650818
rational_3_5,rational_approx,0.6,0.47,0.0,1.0,1.0,0.17034387126891623,0.3196361719088992,0.2,5,16.799994985866412,4.002363752879097
rational_3_5,rational_approx,0.6,0.47,0.17,1.0,1.0,0.17034387126891623,0.3196361719088992,0.2,5,16.799994985866412,4.002363752879097
rational_3_5,rational_approx,0.6,0.47,0.31,1.0,1.0,0.17034387126891623,0.3196361719088992,0.2,5,16.799994985866412,4.002363752879097
rational_5_8,rational_approx,0.625,0.2,0.0,0.8181818181818182,2.0,0.19016383039390228,0.16466462830099193,0.125,8,10.889889066294982,3.7839109804207056
rational_5_8,rational_approx,0.625,0.2,0.17,1.0,1.0,0.18022064857572048,0.1183442819806456,0.125,8,15.44557860400037,4.47583939707936
rational_5_8,rational_approx,0.625,0.2,0.31,0.8181818181818182,2.0,0.19016383039390228,0.16466462830099193,0.125,8,10.889889066294982,3.7839109804207056
rational_5_8,rational_approx,0.625,0.34,0.0,1.0,1.0,0.18022064857572048,0.1183442819806456,0.125,8,15.383585658039264,4.474909502889943
rational_5_8,rational_approx,0.625,0.34,0.17,0.8181818181818182,2.0,0.19016383039390228,0.16466462830099193,0.125,8,10.89414958627397,3.7839748882203903
rational_5_8,rational_approx,0.625,0.34,0.31,1.0,1.0,0.18022064857572048,0.1183442819806456,0.125,8,15.383585658039264,4.474909502889943
rational_5_8,rational_approx,0.625,0.47,0.0,0.5454545454545454,2.0,0.2498229213029932,0.2919373555737192,0.125,8,12.740654769755198,3.1934906477907905
rational_5_8,rational_approx,0.625,0.47,0.17,1.0,1.0,0.18022064857572048,0.1183442819806456,0.125,8,15.374991476107398,4.474780590160965
rational_5_8,rational_approx,0.625,0.47,0.31,0.5454545454545454,2.0,0.2498229213029932,0.2919373555737192,0.125,8,12.740654769755198,3.1934906477907905
rational_8_13,rational_approx,0.6153846153846154,0.2,0.0,0.8181818181818182,2.0,0.19280528689009124,0.0927161222615768,0.07692307692307693,13,11.709461061955748,4.055653066395032
rational_8_13,rational_approx,0.6153846153846154,0.2,0.17,0.8181818181818182,2.0,0.19280528689009124,0.0927161222615768,0.07692307692307693,13,11.709461061955748,4.055653066395032
rational_8_13,rational_approx,0.6153846153846154,0.2,0.31,0.8181818181818182,2.0,0.19280528689009124,0.0927161222615768,0.07692307692307693,13,11.709461061955748,4.055653066395032
rational_8_13,rational_approx,0.6153846153846154,0.34,0.0,1.0,1.0,0.18148603973100033,0.0,0.07692307692307693,13,13.125871276934587,4.746888069154019
rational_8_13,rational_approx,0.6153846153846154,0.34,0.17,1.0,1.0,0.18148603973100033,0.0,0.07692307692307693,13,13.125871276934587,4.746888069154019
rational_8_13,rational_approx,0.6153846153846154,0.34,0.31,1.0,1.0,0.18148603973100033,0.0,0.07692307692307693,13,13.125871276934587,4.746888069154019
rational_8_13,rational_approx,0.6153846153846154,0.47,0.0,0.45454545454545453,2.0,0.2607207698446367,0.33048996458087365,0.07692307692307693,13,11.205025711526247,3.155767239273838
rational_8_13,rational_approx,0.6153846153846154,0.47,0.17,0.45454545454545453,2.0,0.2607207698446367,0.33048996458087365,0.07692307692307693,13,11.205025711526247,3.155767239273838
rational_8_13,rational_approx,0.6153846153846154,0.47,0.31,0.45454545454545453,2.0,0.2607207698446367,0.33048996458087365,0.07692307692307693,13,11.205025711526247,3.155767239273838
rational_13_21,rational_approx,0.6190476190476191,0.2,0.0,0.7272727272727273,2.0,0.19282754125751084,0.09970912925458379,0.047619047619047616,21,11.303653477587776,3.993222296285856
rational_13_21,rational_approx,0.6190476190476191,0.2,0.17,0.7272727272727273,2.0,0.19282754125751084,0.09970912925458379,0.047619047619047616,21,11.303653477587776,3.993222296285856
rational_13_21,rational_approx,0.6190476190476191,0.2,0.31,0.7272727272727273,2.0,0.19282754125751084,0.09970912925458379,0.047619047619047616,21,11.303653477587776,3.993222296285856
rational_13_21,rational_approx,0.6190476190476191,0.34,0.0,1.0,1.0,0.18148603973100033,0.0,0.047619047619047616,21,13.1471348909683,4.861492737650239
rational_13_21,rational_approx,0.6190476190476191,0.34,0.17,1.0,1.0,0.18148603973100033,0.0,0.047619047619047616,21,13.1471348909683,4.861492737650239
rational_13_21,rational_approx,0.6190476190476191,0.34,0.31,1.0,1.0,0.18148603973100033,0.0,0.047619047619047616,21,13.1471348909683,4.861492737650239
rational_13_21,rational_approx,0.6190476190476191,0.47,0.0,0.2727272727272727,2.0,0.2609650897650773,0.37488496352132716,0.047619047619047616,21,10.571417678504828,2.8888811068510507
rational_13_21,rational_approx,0.6190476190476191,0.47,0.17,0.2727272727272727,2.0,0.2609650897650773,0.37488496352132716,0.047619047619047616,21,10.571417678504828,2.8888811068510507
rational_13_21,rational_approx,0.6190476190476191,0.47,0.31,0.2727272727272727,2.0,0.2609650897650773,0.37488496352132716,0.047619047619047616,21,10.571417678504828,2.8888811068510507
control_1_3,rational_control,0.3333333333333333,0.2,0.0,1.0,1.0,0.1362972318522588,0.5417817031453395,0.3333333333333333,3,26.425806451612903,3.4046053936288536
