flow,family,alpha,best_delay,best_slot_count,context_pressure,similarity_threshold,recall_window,recall_gain,sheath_gain,bleed_rate,split_threshold,basin_radius,basin_depth,witness_conversion,delayed_retention,release_rate,rupture_rate,recall_survival_rate,same_slot_recall_rate,same_basin_recall_rate,split_rate,context_distortion_rate,blocked_context_rate,pollution,phase_lock_resistance,score
silver,metallic,0.43821356237309517,21,13,0.08,0.58,13,0.14,0.08,0.04,0.36,2,0.35,0.6892655367231638,0.4080267558528428,0.058823529411764705,0.3016042780748663,0.8027027027027027,0.14594594594594595,0.8027027027027027,0.10540540540540541,0.1,0.1972972972972973,0.035818951481602086,0.5931324497558392,0.7278295463723373
silver,metallic,0.43821356237309517,21,13,0.08,0.58,13,0.14,0.12,0.04,0.36,1,0.35,0.6414565826330533,0.39078498293515357,0.06631016042780749,0.306951871657754,0.7777777777777778,0.24,0.7777777777777778,0.1688888888888889,0.1111111111111111,0.2222222222222222,0.0348420709866493,0.5934187258502368,0.7117333425612298
silver,metallic,0.43821356237309517,21,13,0.08,0.58,21,0.14,0.08,0.12,0.24,1,0.35,0.6585365853658537,0.39705882352941174,0.07165775401069518,0.34652406417112297,0.7694369973190348,0.26273458445040215,0.7694369973190348,0.289544235924933,0.09115281501340483,0.23056300268096513,0.03223705633344188,0.5948997231527702,0.6823617022583532
silver,metallic,0.43821356237309517,21,13,0.08,0.58,21,0.2,0.04,0.04,0.36,2,0.35,0.6703296703296703,0.40131578947368424,0.057754010695187166,0.29197860962566846,0.770940170940171,0.20170940170940171,0.770940170940171,0.14017094017094017,0.09401709401709402,0.22905982905982905,0.03223705633344188,0.5967008687378279,0.7283878089180483
silver,metallic,0.43821356237309517,21,13,0.08,0.58,21,0.2,0.08,0.04,0.36,1,0.55,0.660436137071651,0.3977485928705441,0.06737967914438503,0.3625668449197861,0.7897574123989218,0.2722371967654987,0.7897574123989218,0.1725067385444744,0.09433962264150944,0.21024258760107817,0.03158580267014002,0.5939159116360591,0.7169395143500823
silver,metallic,0.43821356237309517,21,13,0.08,0.58,21,0.2,0.12,0.08,0.24,2,0.35,0.6296296296296297,0.38636363636363635,0.05561497326203209,0.4737967914438503,0.7715617715617715,0.16083916083916083,0.7715617715617715,0.2400932400932401,0.09557109557109557,0.22843822843822845,0.02832953435363074,0.5887041810403904,0.675750011466946
silver,metallic,0.43821356237309517,21,13,0.08,0.68,21,0.08,0.04,0.04,0.24,1,0.55,0.7308707124010554,0.4222560975609756,0.0748663101604278,0.2235294117647059,0.6336032388663968,0.23684210526315788,0.6336032388663968,0.25101214574898784,0.0,0.36639676113360325,0.03451644415499837,0.597968478163708,0.7554499427804632
silver,metallic,0.43821356237309517,21,13,0.08,0.78,13,0.08,0.08,0.04,0.36,1,0.35,0.7292682926829268,0.4217207334273625,0.06951871657754011,0.17219251336898395,0.4416403785488959,0.1608832807570978,0.4416403785488959,0.15772870662460567,0.0,0.5583596214511041,0.039400846629762294,0.5932440378838058,0.7617202404311352
silver,metallic,0.43821356237309517,21,13,0.08,0.78,13,0.08,0.12,0.04,0.24,2,0.55,0.6746666666666666,0.4028662420382166,0.06417112299465241,0.2641711229946524,0.4531645569620253,0.09113924050632911,0.4531645569620253,0.14430379746835442,0.0,0.5468354430379747,0.03647020514490394,0.5983546204298043,0.7484420742216334
silver,metallic,0.43821356237309517,21,13,0.08,0.78,13,0.08,0.12,0.04,0.36,2,0.55,0.7123655913978495,0.41601255886970173,0.058823529411764705,0.25989304812834224,0.46522781774580335,0.07913669064748201,0.46522781774580335,0.07194244604316546,0.0,0.5347721822541966,0.03874959296646044,0.5983207085857116,0.7808987948544763
