branch,anchor,alpha,offset,window_width,beta,score_a,score_b,score_c,score_d,score_e,score_f,write_count,witness_count,activity_rate,delayed_retention,witness_conversion_proxy,write_persistence,pollution,overload_rate,phase_lock_resistance,generic_score
model_revision_witness,bounded_cf_2,0.6582505321462085,-0.036,0.16,0.0,0.06,0.035,0.36,0.055,0.32,0.58,27.0,0.0,0.01318359375,1.0,0.0,0.0,0.013190034196384953,0.0,0.6491236043847022,0.4582314824164237
model_revision_witness,bounded_cf_2,0.6702505321462086,-0.023999999999999997,0.16,0.0,0.06,0.035,0.36,0.055,0.32,0.58,32.0,0.0,0.015625,1.0,0.0,0.0,0.015632633121641426,0.0,0.8506660602314013,0.505427172601177
model_revision_witness,bounded_cf_2,0.6822505321462086,-0.011999999999999997,0.16,0.0,0.06,0.035,0.36,0.055,0.32,0.58,31.0,0.0,0.01513671875,1.0,0.0,0.0,0.015144113336590131,0.0,0.5212419899126053,0.43238260715134597
model_revision_witness,bounded_cf_2,0.6942505321462086,3.469446951953614e-18,0.16,0.0,0.06,0.035,0.36,0.055,0.32,0.58,29.0,0.0,0.01416015625,1.0,0.0,0.0,0.014167073766487542,0.0,0.6887638330292302,0.46809487267761163
model_revision_witness,bounded_cf_2,0.7062505321462086,0.012000000000000004,0.16,0.0,0.06,0.035,0.36,0.055,0.32,0.58,27.0,0.0,0.01318359375,1.0,0.0,0.0,0.013190034196384953,0.0,0.5379982033116992,0.43378389418036306
model_revision_witness,bounded_cf_2,0.7182505321462086,0.024000000000000004,0.16,0.0,0.06,0.035,0.36,0.055,0.32,0.58,30.0,0.0,0.0146484375,1.0,0.0,0.0,0.014655593551538837,0.0,0.5959872350061763,0.44825529109223566
model_revision_witness,bounded_cf_2,0.7302505321462086,0.036000000000000004,0.16,0.0,0.06,0.035,0.36,0.055,0.32,0.58,24.0,0.0,0.01171875,1.0,0.0,0.0,0.01172447484123107,0.0,0.7467817365932257,0.4780024615632112
model_revision_witness,bounded_cf_2,0.6582505321462085,-0.036,0.16,0.0,0.06,0.035,0.52,0.055,0.32,0.7,20.0,0.0,0.009765625,1.0,0.0,0.0,0.009770395701025891,0.0,0.6085842939683672,0.44531394426695875
model_revision_witness,bounded_cf_2,0.6702505321462086,-0.023999999999999997,0.16,0.0,0.06,0.035,0.52,0.055,0.32,0.7,24.0,0.0,0.01171875,1.0,0.0,0.0,0.01172447484123107,0.0,0.862903969825281,0.5035493528742634
model_revision_witness,bounded_cf_2,0.6822505321462086,-0.011999999999999997,0.16,0.0,0.06,0.035,0.52,0.055,0.32,0.7,24.0,0.0,0.01171875,1.0,0.0,0.0,0.01172447484123107,0.0,0.5231539030005796,0.42880433817282904
model_revision_witness,bounded_cf_2,0.6942505321462086,3.469446951953614e-18,0.16,0.0,0.06,0.035,0.52,0.055,0.32,0.7,22.0,0.0,0.0107421875,1.0,0.0,0.0,0.01074743527112848,0.0,0.7075140939512581,0.4682210402225865
model_revision_witness,bounded_cf_2,0.7062505321462086,0.012000000000000004,0.16,0.0,0.06,0.035,0.52,0.055,0.32,0.7,20.0,0.0,0.009765625,1.0,0.0,0.0,0.009770395701025891,0.0,0.7883012034317931,0.4848516643489124
model_revision_witness,bounded_cf_2,0.7182505321462086,0.024000000000000004,0.16,0.0,0.06,0.035,0.52,0.055,0.32,0.7,21.0,0.0,0.01025390625,1.0,0.0,0.0,0.010258915486077186,0.0,0.6348691806186346,0.4516678893097134
model_revision_witness,bounded_cf_2,0.7302505321462086,0.036000000000000004,0.16,0.0,0.06,0.035,0.52,0.055,0.32,0.7,24.0,0.0,0.01171875,1.0,0.0,0.0,0.01172447484123107,0.0,0.7467817365932257,0.4780024615632112
model_revision_witness,bounded_cf_2,0.6582505321462085,-0.036,0.16,0.0,0.06,0.08,0.36,0.025,0.32,0.58,27.0,25.0,0.025390625,0.5192307692307693,0.0,0.0,0.013190034196384953,0.0,0.7908034411617335,0.42773675864679367
model_revision_witness,bounded_cf_2,0.6702505321462086,-0.023999999999999997,0.16,0.0,0.06,0.08,0.36,0.025,0.32,0.58,33.0,25.0,0.0283203125,0.5689655172413793,0.0,0.0,0.01612115290669272,0.0,0.7814810474664753,0.4370710115937098
model_revision_witness,bounded_cf_2,0.6822505321462086,-0.011999999999999997,0.16,0.0,0.06,0.08,0.36,0.025,0.32,0.58,31.0,27.0,0.0283203125,0.5344827586206896,0.0,0.0,0.015144113336590131,0.0,0.7971319842360726,0.4350751394693191
model_revision_witness,bounded_cf_2,0.6942505321462086,3.469446951953614e-18,0.16,0.0,0.06,0.08,0.36,0.025,0.32,0.58,29.0,23.0,0.025390625,0.5576923076923077,0.0,0.0,0.014167073766487542,0.0,0.70663133416511,0.41529457809577447
model_revision_witness,bounded_cf_2,0.7062505321462086,0.012000000000000004,0.16,0.0,0.06,0.08,0.36,0.025,0.32,0.58,27.0,19.0,0.0224609375,0.5869565217391305,0.0,0.0,0.013190034196384953,0.0,0.5219591148430993,0.3757650178830319
model_revision_witness,bounded_cf_2,0.7182505321462086,0.024000000000000004,0.16,0.0,0.06,0.08,0.36,0.025,0.32,0.58,30.0,26.0,0.02734375,0.5357142857142857,0.0,0.0,0.014655593551538837,0.0,0.6067436018768053,0.39220511814305975
model_revision_witness,bounded_cf_2,0.7302505321462086,0.036000000000000004,0.16,0.0,0.06,0.08,0.36,0.025,0.32,0.58,24.0,24.0,0.0234375,0.5,0.0,0.0,0.01172447484123107,0.0,0.7544869032958634,0.41434603573779144
model_revision_witness,bounded_cf_2,0.6582505321462085,-0.036,0.16,0.0,0.06,0.08,0.36,0.1,0.55,0.58,27.0,0.0,0.01318359375,1.0,0.0,0.0,0.013190034196384953,0.0,0.6491236043847022,0.4582314824164237
model_revision_witness,bounded_cf_2,0.6702505321462086,-0.023999999999999997,0.16,0.0,0.06,0.08,0.36,0.1,0.55,0.58,32.0,0.0,0.015625,1.0,0.0,0.0,0.015632633121641426,0.0,0.8506660602314013,0.505427172601177
model_revision_witness,bounded_cf_2,0.6822505321462086,-0.011999999999999997,0.16,0.0,0.06,0.08,0.36,0.1,0.55,0.58,31.0,0.0,0.01513671875,1.0,0.0,0.0,0.015144113336590131,0.0,0.5212419899126053,0.43238260715134597
model_revision_witness,bounded_cf_2,0.6942505321462086,3.469446951953614e-18,0.16,0.0,0.06,0.08,0.36,0.1,0.55,0.58,29.0,0.0,0.01416015625,1.0,0.0,0.0,0.014167073766487542,0.0,0.6887638330292302,0.46809487267761163
model_revision_witness,bounded_cf_2,0.7062505321462086,0.012000000000000004,0.16,0.0,0.06,0.08,0.36,0.1,0.55,0.58,27.0,0.0,0.01318359375,1.0,0.0,0.0,0.013190034196384953,0.0,0.5379982033116992,0.43378389418036306
model_revision_witness,bounded_cf_2,0.7182505321462086,0.024000000000000004,0.16,0.0,0.06,0.08,0.36,0.1,0.55,0.58,30.0,0.0,0.0146484375,1.0,0.0,0.0,0.014655593551538837,0.0,0.5959872350061763,0.44825529109223566
model_revision_witness,bounded_cf_2,0.7302505321462086,0.036000000000000004,0.16,0.0,0.06,0.08,0.36,0.1,0.55,0.58,24.0,0.0,0.01171875,1.0,0.0,0.0,0.01172447484123107,0.0,0.7467817365932257,0.4780024615632112
model_revision_witness,bounded_cf_2,0.6582505321462085,-0.036,0.16,0.0,0.06,0.08,0.52,0.025,0.32,0.7,20.0,23.0,0.02099609375,0.46511627906976744,0.0,0.0,0.009770395701025891,0.0,0.6553289037546215,0.3840544490085975
model_revision_witness,bounded_cf_2,0.6702505321462086,-0.023999999999999997,0.16,0.0,0.06,0.08,0.52,0.025,0.32,0.7,24.0,24.0,0.0234375,0.5,0.0,0.0,0.01172447484123107,0.0,0.8413643000546398,0.43345906302472226
model_revision_witness,bounded_cf_2,0.6822505321462086,-0.011999999999999997,0.16,0.0,0.06,0.08,0.52,0.025,0.32,0.7,24.0,26.0,0.0244140625,0.48,0.0,0.0,0.01172447484123107,0.0,0.5477640619453439,0.36688771376567714
model_revision_witness,bounded_cf_2,0.6942505321462086,3.469446951953614e-18,0.16,0.0,0.06,0.08,0.52,0.025,0.32,0.7,22.0,22.0,0.021484375,0.5,0.0,0.0,0.01074743527112848,0.0,0.7281439528010378,0.40618734354453806
model_revision_witness,bounded_cf_2,0.7062505321462086,0.012000000000000004,0.16,0.0,0.06,0.08,0.52,0.025,0.32,0.7,20.0,19.0,0.01904296875,0.5128205128205128,0.0,0.0,0.009770395701025891,0.0,0.5661060051274562,0.36961668246074036
model_revision_witness,bounded_cf_2,0.7182505321462086,0.024000000000000004,0.16,0.0,0.06,0.08,0.52,0.025,0.32,0.7,22.0,24.0,0.0224609375,0.4782608695652174,0.0,0.0,0.01074743527112848,0.0,0.638386036958138,0.38418304431453487
model_revision_witness,bounded_cf_2,0.7302505321462086,0.036000000000000004,0.16,0.0,0.06,0.08,0.52,0.025,0.32,0.7,24.0,24.0,0.0234375,0.5,0.0,0.0,0.01172447484123107,0.0,0.7544869032958634,0.41434603573779144
model_revision_witness,bounded_cf_2,0.6582505321462085,-0.036,0.16,0.0,0.06,0.08,0.52,0.025,0.55,0.7,20.0,23.0,0.02099609375,0.46511627906976744,0.0,0.0,0.009770395701025891,0.0,0.6553289037546215,0.3840544490085975
model_revision_witness,bounded_cf_2,0.6702505321462086,-0.023999999999999997,0.16,0.0,0.06,0.08,0.52,0.025,0.55,0.7,24.0,24.0,0.0234375,0.5,0.0,0.0,0.01172447484123107,0.0,0.8413643000546398,0.43345906302472226
model_revision_witness,bounded_cf_2,0.6822505321462086,-0.011999999999999997,0.16,0.0,0.06,0.08,0.52,0.025,0.55,0.7,24.0,26.0,0.0244140625,0.48,0.0,0.0,0.01172447484123107,0.0,0.5477640619453439,0.36688771376567714
model_revision_witness,bounded_cf_2,0.6942505321462086,3.469446951953614e-18,0.16,0.0,0.06,0.08,0.52,0.025,0.55,0.7,22.0,22.0,0.021484375,0.5,0.0,0.0,0.01074743527112848,0.0,0.7281439528010378,0.40618734354453806
model_revision_witness,bounded_cf_2,0.7062505321462086,0.012000000000000004,0.16,0.0,0.06,0.08,0.52,0.025,0.55,0.7,20.0,19.0,0.01904296875,0.5128205128205128,0.0,0.0,0.009770395701025891,0.0,0.5661060051274562,0.36961668246074036
model_revision_witness,bounded_cf_2,0.7182505321462086,0.024000000000000004,0.16,0.0,0.06,0.08,0.52,0.025,0.55,0.7,22.0,24.0,0.0224609375,0.4782608695652174,0.0,0.0,0.01074743527112848,0.0,0.638386036958138,0.38418304431453487
model_revision_witness,bounded_cf_2,0.7302505321462086,0.036000000000000004,0.16,0.0,0.06,0.08,0.52,0.025,0.55,0.7,24.0,24.0,0.0234375,0.5,0.0,0.0,0.01172447484123107,0.0,0.7544869032958634,0.41434603573779144
model_revision_witness,bounded_cf_2,0.6582505321462085,-0.036,0.16,0.0,0.06,0.17,0.36,0.055,0.32,0.58,27.0,21.0,0.0234375,0.5625,0.0,0.0,0.013190034196384953,0.0,0.6765620005788424,0.40708531239163454
