anchor,anchor_family,window_size,phase,length,memory_capacity,perturbation,phase_lag,window_beta,delay_steps,noise_amp,alpha_cutoff_q,effective_offset,direct_best_offset,match_distance,derived_tradeoff,direct_best_tradeoff,tradeoff_gap_to_direct_best,mean_tradeoff,max_tradeoff,mean_retention,mean_pollution,mean_phase_lock,mean_diversity,mean_write,mean_witness,mean_release,autocorr_peak,spectral_peak
silver,metallic_anchor,0.382,0.0,5000,100,phase_small,0.015,0.0,0,0.0,0,6.938893903907228e-17,-0.011999999999999941,0.03,0.588813242450177,0.615892933631663,-0.02707969118148601,0.588813242450177,0.6315814861448591,0.8333333333333334,0.0006854592963915797,0.37653739323816837,10.0,4285.0,714.0,1.0,0.9617622315594407,0.450098523122514
silver,metallic_anchor,0.382,0.0,5000,100,phase_big,0.045,0.0,0,0.0,0,6.938893903907228e-17,-0.011999999999999941,0.09,0.5891154705438709,0.615892933631663,-0.026777463087792053,0.5891154705438709,0.6320562425427347,0.8326291079812207,0.0009204535427343207,0.3765475994228494,10.0,4285.0,715.0,0.0,0.9617622315594407,0.4501393478612381
silver,metallic_anchor,0.382,0.0,5000,100,window_drift_small,0.0,0.004,0,0.0,0,-0.003999999999999934,-0.011999999999999941,0.0,0.5741093195701068,0.615892933631663,-0.041783614061556174,0.5741093195701068,0.5816342291505898,1.0,0.038759868195962215,0.5027395817518628,11.5,4677.0,322.0,1.0,0.9832117022713487,0.6189059378574566
silver,metallic_anchor,0.382,0.0,5000,100,window_drift_big,0.0,0.011,0,0.0,0,0.07200000000000013,-0.011999999999999941,0.463,0.6027040898802796,0.615892933631663,-0.013188843751383406,0.6027040898802796,0.6123072971171217,1.0,0.05972450657894737,0.4047687844302709,11.0,4864.0,84.0,52.0,0.9812945489258211,0.3801638792138018
silver,metallic_anchor,0.382,0.0,5000,100,delay_3,0.0,0.0,3,0.0,0,0.0320000000000001,-0.011999999999999941,0.468,0.5889956610721201,0.615892933631663,-0.026897272559542884,0.5889956610721201,0.6317490405467541,0.8334905660377359,0.000812523901993727,0.3758943737557205,10.0,4286.0,713.0,1.0,0.9598649208579106,0.4494719731370401
silver,metallic_anchor,0.382,0.0,5000,100,delay_8,0.0,0.0,8,0.0,0,0.0320000000000001,-0.011999999999999941,0.4676,0.5931638429947014,0.615892933631663,-0.022729090636961602,0.5931638429947014,0.6374350995483306,0.8327863406856232,0.0016057834454590257,0.3752809928170026,13.0,4285.0,715.0,0.0,0.9579838922959397,0.4489718038083204
silver,metallic_anchor,0.382,0.0,5000,100,noise_small,0.0,0.0,0,0.0015,0,6.938893903907228e-17,-0.011999999999999941,0.0012,0.5968761067881025,0.615892933631663,-0.01901682684356043,0.5968761067881025,0.631233487172034,0.8684738955823293,0.000812523901993727,0.3757488654309586,10.0,4286.0,713.0,1.0,0.9611611431558383,0.4475455002972773
silver,metallic_anchor,0.382,0.0,5000,100,noise_big,0.0,0.0,0,0.0045,0,6.938893903907228e-17,-0.011999999999999941,0.0044,0.6067851663234741,0.615892933631663,-0.009107767308188852,0.6067851663234741,0.630603166870522,0.9094594594594595,0.0007967210888140206,0.37450507322672816,10.5,4374.75,624.25,1.0,0.9611989157428382,0.4425084502719621
silver,metallic_anchor,0.382,0.0,5000,100,cutoff_34,0.0,0.0,0,0.0,34,6.938893903907228e-17,-0.011999999999999941,0.474,0.5020944206281233,0.615892933631663,-0.11379851300353971,0.5020944206281233,0.5020944206281233,1.0,0.0008507018290089324,0.6068784946133956,7.0,4702.0,297.0,1.0,0.995849912990128,0.43166406546345465
silver,metallic_anchor,0.382,0.0,5000,100,cutoff_55,0.0,0.0,0,0.0,55,0.004000000000000073,-0.011999999999999941,0.1644,0.5431617969656009,0.615892933631663,-0.07273113666606212,0.5431617969656009,0.5713684777795166,0.8980248634832113,0.021867388053166244,0.49876680499794945,11.0,4423.0,577.0,0.0,0.9824540395146196,0.722280004620617
