anchor,anchor_family,alpha,offset,window_size,phase,length,memory_capacity,mean_tradeoff,max_tradeoff,mean_retention,mean_pollution,mean_phase_lock,mean_diversity,mean_write,mean_witness,mean_release,autocorr_peak,spectral_peak
golden,phi_anchor,0.666033988749895,0.04800000000000011,0.2,0.0,5000,100,0.4449895700223268,0.4449895700223268,1.0,0.012457303596544103,0.6015538717678821,10.0,4977.0,23.0,0.0,0.9864615654531146,0.41975392161841374
golden,phi_anchor,0.670033988749895,0.052000000000000116,0.2,0.0,5000,100,0.5389458011621928,0.5389458011621928,1.0,0.06229575163398693,0.349437033037882,10.0,4896.0,104.0,0.0,0.956257953902715,0.2825312192898542
golden,phi_anchor,0.674033988749895,0.05600000000000012,0.2,0.0,5000,100,0.5348765850422491,0.5535323639367214,1.0,0.10469011725293131,0.36248301970445024,10.0,4776.0,224.0,0.0,0.9550527566177546,0.40650411140151677
golden,phi_anchor,0.678033988749895,0.06000000000000012,0.2,0.0,5000,100,0.547871215359995,0.566599699913317,1.0,0.10317657512441242,0.3519196871035662,9.75,4613.25,386.75,0.0,0.9610271861808162,0.36908419288203714
golden,phi_anchor,0.682033988749895,0.06400000000000013,0.2,0.0,5000,100,0.5840251363451614,0.5857675343737653,1.0,0.0010600595945365367,0.3240800816159383,8.75,4248.0,752.0,0.0,0.9648728527982857,0.2579238447193404
golden,phi_anchor,0.686033988749895,0.06800000000000013,0.2,0.0,5000,100,0.5274519525082508,0.5656205419004292,0.8439817333811485,0.00104047672974987,0.39872816611226003,9.5,4132.75,862.25,5.0,0.9718575945046958,0.437426119065727
golden,phi_anchor,0.690033988749895,0.07200000000000013,0.2,0.0,5000,100,0.5771531665627231,0.5948360618982618,0.9263212694352554,0.0009313154831199069,0.3454186087479717,10.0,4295.0,705.0,0.0,0.9557414067049762,0.26697406932795154
golden,phi_anchor,0.694033988749895,0.07600000000000014,0.2,0.0,5000,100,0.4720943422446996,0.5097655226533838,0.48245794583884455,0.000997580731394354,0.3617149476758121,9.5,4027.25,972.75,0.0,0.9641424299671469,0.3634349238543817
golden,phi_anchor,0.698033988749895,0.08000000000000014,0.2,0.0,5000,100,0.3901026407648447,0.4136623194382322,0.10400000842659546,0.0006720802383650174,0.35766750865252345,8.5,3657.75,1341.25,1.0,0.9604780933465671,0.40762653499167156
golden,phi_anchor,0.5380339887498948,-0.08,0.2,0.0,5000,400,0.3855727568609618,0.4461934523684804,0.17419421594495318,0.0010103576320050177,0.3560733055266269,9.0,3859.75,830.75,309.5,0.9613932509785692,0.3762546434850114
golden,phi_anchor,0.5420339887498948,-0.076,0.2,0.0,5000,400,0.39886321744908687,0.5241286734696882,0.23644698753994714,0.0009058922117632876,0.3762301766960208,8.75,3950.0,681.0,369.0,0.959282079210108,0.39681815632476913
golden,phi_anchor,0.5460339887498948,-0.072,0.2,0.0,5000,400,0.38821092324969153,0.41372025489007913,0.10348583877995643,0.004938132157824166,0.33433756196067504,9.5,4416.5,389.5,194.0,0.956941182837953,0.27575976426811855
golden,phi_anchor,0.5500339887498948,-0.06799999999999999,0.2,0.0,5000,400,0.28496673438752995,0.28533320818782515,0.0035223379549322673,0.0007787668059784319,0.555480004459507,9.0,4492.5,506.5,1.0,0.9920639763671572,0.43064112488598355
golden,phi_anchor,0.5540339887498948,-0.06399999999999999,0.2,0.0,5000,400,0.4095955626120976,0.4178703534331568,0.23001403053836567,0.0005847813549547104,0.3733914218176568,8.5,4252.0,747.0,1.0,0.9723101300059189,0.30573820002681384
golden,phi_anchor,0.5580339887498948,-0.059999999999999984,0.2,0.0,5000,400,0.44643661525868394,0.4811085192351605,0.3279604498818657,0.0005997176309382249,0.3396630887475976,9.5,4150.0,849.0,1.0,0.9601734392333192,0.3271241341750168
golden,phi_anchor,0.5620339887498949,-0.05599999999999998,0.2,0.0,5000,400,0.43403586917505366,0.4890182757674633,0.3313725940351336,0.0005005327210058398,0.3749671512370467,9.75,4001.0,998.25,0.75,0.958022600039359,0.4253821776871045
golden,phi_anchor,0.5660339887498949,-0.05199999999999998,0.2,0.0,5000,400,0.3982734259359937,0.4617039222808951,0.20341242598502746,0.0005756578705045178,0.39270852292801306,9.25,3585.25,1414.25,0.5,0.9850673399385099,0.2840292973333031
golden,phi_anchor,0.5700339887498949,-0.04799999999999997,0.2,0.0,5000,400,0.3880059029589246,0.45360888019844653,0.11991114381239451,0.0012418148265827388,0.3608394274097927,8.5,3347.5,1652.25,0.25,0.9558222316476602,0.41071779700599853
golden,phi_anchor,0.5740339887498949,-0.04399999999999997,0.2,0.0,5000,400,0.3877515473821346,0.4474996812321965,0.19140986992372194,0.0011431150978564771,0.40688633940817215,9.75,3598.25,1401.75,0.0,0.9729451952227897,0.3596233449194743
golden,phi_anchor,0.5780339887498949,-0.039999999999999966,0.2,0.0,5000,400,0.4449188455503956,0.46901588935437494,0.30419907384639244,0.0009342211393215014,0.3287484978159152,9.5,3472.25,1527.75,0.0,0.9555331392850951,0.26702245326577223
golden,phi_anchor,0.5820339887498949,-0.03599999999999996,0.2,0.0,5000,400,0.5234081553524955,0.5992577454697248,0.6861119877584182,0.000887611803062257,0.3649040571202605,10.5,3938.5,1061.5,0.0,0.9598925427064284,0.43730506598294694
golden,phi_anchor,0.5860339887498949,-0.03199999999999996,0.2,0.0,5000,400,0.5598743764316514,0.6142914226139834,0.7758028332325067,0.0006607222893836134,0.32515596199238805,10.25,4140.5,858.0,1.5,0.9607222354256939,0.2542981144826423
