flow,family,alpha,best_delay,best_slot_count,context_pressure,similarity_threshold,recall_window,recall_gain,layer_window,recency_decay,resonance_gain,field_radius,field_width,field_support_gain,field_competition_gain,window_levels,window_blend_gain,split_threshold,witness_conversion,delayed_retention,release_rate,rupture_rate,recall_survival_rate,same_core_recall_rate,same_field_recall_rate,split_rate,context_distortion_rate,blocked_context_rate,field_overlap_rate,macro_window_rate,pollution,phase_lock_resistance,score
silver,metallic,0.43821356237309517,21,13,0.04,0.58,13,0.14,13,0.55,0.08,3,1.2,0.08,0.08,3,0.08,0.24,0.7097457627118644,0.41511771995043373,0.10481283422459893,0.03208556149732621,0.7765273311897106,0.17041800643086816,0.7765273311897106,0.04180064308681672,0.0,0.22347266881028938,1.81640625,0.20540364583333334,0.045587756431129924,0.44890632815316767,0.750492304189724
silver,metallic,0.43821356237309517,21,13,0.04,0.58,13,0.2,8,0.72,0.08,3,1.2,0.14,0.04,3,0.08,0.24,0.7264957264957265,0.4207920792079208,0.09304812834224599,0.0427807486631016,0.7540453074433657,0.1650485436893204,0.7540453074433657,0.045307443365695796,0.0,0.2459546925566343,1.81640625,0.12239583333333333,0.046890263757733634,0.5909648153966804,0.7697105670503326
silver,metallic,0.43821356237309517,21,13,0.04,0.58,21,0.14,8,0.55,0.14,3,1.8,0.08,0.08,3,0.14,0.36,0.8102345415778252,0.44758539458186103,0.06417112299465241,0.027807486631016044,0.6767189384800965,0.2255729794933655,0.6767189384800965,0.014475271411338963,0.0,0.3232810615199035,1.81640625,0.1513671875,0.05177466623249756,0.5852661697843213,0.8157982525143638
silver,metallic,0.43821356237309517,21,13,0.04,0.58,21,0.14,8,0.55,0.14,5,1.2,0.14,0.08,1,0.08,0.36,0.7917570498915402,0.44188861985472155,0.06417112299465241,0.052406417112299465,0.6503972758229285,0.21679909194097616,0.6503972758229285,0.0,0.0,0.3496027241770715,3.02734375,0.0,0.0475415174210355,0.5866858242554154,0.8108803196728933
silver,metallic,0.43821356237309517,21,13,0.04,0.58,21,0.14,13,0.72,0.14,3,1.2,0.14,0.04,2,0.08,0.24,0.7697516930022573,0.43494897959183676,0.06310160427807486,0.09839572192513368,0.7051597051597052,0.2334152334152334,0.7051597051597052,0.051597051597051594,0.0,0.29484029484029484,1.81640625,0.18717447916666666,0.040703353956366005,0.6014818311150893,0.7965759592089684
silver,metallic,0.43821356237309517,21,13,0.04,0.58,21,0.2,8,0.72,0.08,5,1.8,0.14,0.04,3,0.08,0.36,0.7928870292887029,0.44224037339556593,0.0748663101604278,0.008556149732620321,0.6980920314253648,0.22334455667789002,0.6980920314253648,0.001122334455667789,0.0,0.30190796857463525,3.02734375,0.1328125,0.05177466623249756,0.5796441800027616,0.8115358976095652
silver,metallic,0.43821356237309517,21,13,0.04,0.58,21,0.2,13,0.55,0.08,3,1.8,0.08,0.04,2,0.08,0.36,0.7635983263598326,0.43297746144721233,0.07700534759358289,0.0213903743315508,0.7314148681055156,0.23860911270983212,0.7314148681055156,0.014388489208633094,0.0,0.2685851318944844,1.81640625,0.197265625,0.04916965157929013,0.5847996225631686,0.8030355156807049
silver,metallic,0.43821356237309517,21,13,0.04,0.68,13,0.08,8,0.72,0.08,3,1.2,0.14,0.08,3,0.08,0.36,0.7042553191489361,0.4132334581772784,0.13903743315508021,0.0042780748663101605,0.5830564784053156,0.12624584717607973,0.5830564784053156,0.006644518272425249,0.0,0.4169435215946844,1.81640625,0.1201171875,0.05014653207424292,0.4345551667059532,0.7704336376639886
silver,metallic,0.43821356237309517,21,13,0.04,0.68,13,0.08,8,0.72,0.14,5,1.8,0.14,0.08,3,0.14,0.36,0.7363083164300203,0.42406542056074764,0.08342245989304813,0.0010695187165775401,0.5146853146853146,0.1048951048951049,0.5146853146853146,0.0,0.0,0.4853146853146853,3.02734375,0.13118489583333334,0.051123412569195704,0.5753623272756954,0.7962521745722515
silver,metallic,0.43821356237309517,21,13,0.04,0.68,13,0.08,13,0.72,0.08,3,1.2,0.08,0.04,2,0.14,0.36,0.6645833333333333,0.3992490613266583,0.13903743315508021,0.006417112299465241,0.5886287625418061,0.13712374581939799,0.5886287625418061,0.006688963210702341,0.0,0.411371237458194,1.81640625,0.18619791666666666,0.045587756431129924,0.4340275242103503,0.7690652027788555
silver,metallic,0.43821356237309517,21,13,0.04,0.68,13,0.14,8,0.55,0.08,5,1.2,0.08,0.08,1,0.14,0.24,0.7016806722689075,0.4123456790123457,0.13368983957219252,0.0,0.5277777777777778,0.11403508771929824,0.5277777777777778,0.0,0.0,0.4722222222222222,3.02734375,0.0,0.05047215890589384,0.4321728586113901,0.7625019220890515
