anchor,anchor_family,model,model_label,alpha,offset,window_width,phase,beta,length,max_alignment_age,memory_capacity,write_count,witness_expired,release_count,delayed_retention,witness_conversion,pollution,mean_alignment_latency,return_interval_diversity,phase_lock_resistance,contact_ring_rate,center_share,rigidity_after_perturbation,composite_score,surrogate_base_score
golden,phi_anchor,single_light_sphere,Single Light,0.5700339887498947,-0.048,0.18,0.0,0.011,4096,4,34,78.0,235.0,3705.0,0.24920127795527156,0.09798994974874371,1.0,2.0,0.0,0.5233825850364948,0.273681640625,0.11474609375,0.67041015625,0.3518392370696582,0.2653646276946582
golden,phi_anchor,single_light_sphere,Single Light,0.5760339887498948,-0.042,0.18,0.0,0.011,4096,4,34,27.0,236.0,3806.0,0.10266159695817491,0.033962264150943396,1.0,2.0,0.0,0.5740630120682271,0.273681640625,0.11474609375,0.6689453125,0.316397300673656,0.230039878798656
golden,phi_anchor,single_light_sphere,Single Light,0.5820339887498948,-0.036000000000000004,0.18,0.0,0.011,4096,4,34,0.0,262.0,3834.0,0.0,0.0,0.0,4.0,0.0,0.2126168322758647,0.273681640625,0.116943359375,0.66845703125,0.358608082348794,0.272289722973794
golden,phi_anchor,single_light_sphere,Single Light,0.5880339887498948,-0.030000000000000006,0.18,0.0,0.011,4096,4,34,0.0,307.0,3789.0,0.0,0.0,0.0,4.0,0.0,0.3522346695368548,0.2734375,0.114990234375,0.6708984375,0.40624416264253066,0.31975978764253066
golden,phi_anchor,single_light_sphere,Single Light,0.5940339887498948,-0.024000000000000007,0.18,0.0,0.011,4096,4,34,0.0,357.0,3739.0,0.0,0.0,0.0,4.0,0.0,0.2189075485495856,0.274169921875,0.114990234375,0.673583984375,0.3612156758818591,0.2744285665068591
golden,phi_anchor,single_light_sphere,Single Light,0.6000339887498948,-0.01800000000000001,0.18,0.0,0.011,4096,4,34,0.0,404.0,3692.0,0.0,0.0,0.0,4.0,0.0,0.5018515475303973,0.27392578125,0.114501953125,0.668701171875,0.456996713660335,0.37062952616033507
golden,phi_anchor,single_light_sphere,Single Light,0.6060339887498948,-0.01200000000000001,0.18,0.0,0.011,4096,4,34,0.0,454.0,3642.0,0.0,0.0,0.0,4.0,0.0,0.5273946835711361,0.2734375,0.114990234375,0.670166015625,0.4657399736641863,0.3793141924141863
golden,phi_anchor,single_light_sphere,Single Light,0.6120339887498948,-0.006000000000000012,0.18,0.0,0.011,4096,4,34,0.0,473.0,3622.0,0.0,0.0,0.0,4.0,0.0,0.5301520072435515,0.273681640625,0.11572265625,0.6689453125,0.4666091043378075,0.3802516824628075
golden,phi_anchor,single_light_sphere,Single Light,0.6180339887498948,-1.3877787807814457e-17,0.18,0.0,0.011,4096,4,34,0.0,407.0,3688.0,0.0,0.0,0.0,4.0,0.0,0.3778968891625559,0.27392578125,0.114990234375,0.667724609375,0.414774004815269,0.32848494231526904
golden,phi_anchor,single_light_sphere,Single Light,0.6240339887498948,0.0059999999999999845,0.18,0.0,0.011,4096,4,34,0.0,334.0,3762.0,0.0,0.0,0.0,4.0,0.0,0.5236136352311747,0.27392578125,0.115478515625,0.666748046875,0.46423957347859934,0.37802863597859937
golden,phi_anchor,single_light_sphere,Single Light,0.6300339887498948,0.011999999999999983,0.18,0.0,0.011,4096,4,34,0.0,251.0,3845.0,0.0,0.0,0.0,4.0,0.0,0.2914393578029669,0.274169921875,0.112060546875,0.669921875,0.3855835222780088,0.2990893816530088
golden,phi_anchor,single_light_sphere,Single Light,0.6360339887498948,0.01799999999999998,0.18,0.0,0.011,4096,4,34,43.0,212.0,3798.0,0.16862745098039217,0.0560625814863103,1.0,3.0,0.0,0.22009086031656622,0.27392578125,0.103271484375,0.6728515625,0.2188370621996782,0.1321378434496782
golden,phi_anchor,single_light_sphere,Single Light,0.6420339887498948,0.02399999999999998,0.18,0.0,0.011,4096,4,34,125.0,233.0,3612.0,0.34916201117318435,0.15683814303638646,1.0,3.0,0.0,0.5531392316021218,0.2734375,0.115478515625,0.668212890625,0.4003330988697626,0.31406356761976256
golden,phi_anchor,single_light_sphere,Single Light,0.6480339887498948,0.029999999999999978,0.18,0.0,0.011,4096,4,34,196.0,236.0,3468.0,0.4537037037037037,0.24623115577889448,1.0,3.0,0.0,0.53864166425422,0.2744140625,0.11474609375,0.6689453125,0.44094212342367295,0.3544968109236729
golden,phi_anchor,single_light_sphere,Single Light,0.6540339887498947,0.035999999999999976,0.18,0.0,0.011,4096,4,34,236.0,236.0,3387.0,0.5,0.2961104140526976,1.0,3.0,0.0,0.21868843477898625,0.27392578125,0.115478515625,0.670654296875,0.3541773798543409,0.2676539423543409
golden,phi_anchor,single_light_sphere,Single Light,0.6600339887498947,0.041999999999999975,0.18,0.0,0.011,4096,4,34,198.0,235.0,3465.0,0.45727482678983833,0.24874371859296482,1.0,3.0,0.0,0.5607229954197195,0.27392578125,0.115234375,0.666015625,0.449608983040593,0.363456639290593
golden,phi_anchor,single_light_sphere,Single Light,0.6660339887498947,0.04799999999999997,0.18,0.0,0.011,4096,4,34,50.0,236.0,3760.0,0.17482517482517482,0.06281407035175879,1.0,3.0,0.0,0.5238344476339916,0.2734375,0.114990234375,0.675537109375,0.3252167625599227,0.2383612938099227
golden,phi_anchor,single_light_sphere,Single Light,0.5700339887498947,-0.048,0.18,0.0,0.011,4096,8,34,156.0,156.0,3627.0,0.5,0.19597989949748743,1.0,4.5,0.5555555554320988,0.5233825850364948,0.273681640625,0.11474609375,0.67041015625,0.4952566257401659,0.35322646082195597
golden,phi_anchor,single_light_sphere,Single Light,0.5760339887498948,-0.042,0.18,0.0,0.011,4096,8,34,25.0,182.0,3863.0,0.12077294685990338,0.031446540880503145,1.0,7.0,0.0,0.5740630120682271,0.273681640625,0.11474609375,0.6689453125,0.3210156484574607,0.23465822658246074
golden,phi_anchor,single_light_sphere,Single Light,0.5820339887498948,-0.036000000000000004,0.18,0.0,0.011,4096,8,34,3.0,169.0,3921.0,0.01744186046511628,0.0037546933667083854,1.0,7.0,0.0,0.2126168322758647,0.273681640625,0.116943359375,0.66845703125,0.16416764808503406,0.07784928871003406
