anchor,anchor_family,model,model_label,alpha,offset,window_width,phase,beta,length,phase_lock_resistance,delayed_retention,pollution,symmetry_balance,rigidity_after_zipping,center_share,closure_balance,composite_score,surrogate_base_score
golden,phi_anchor,binary_baseline,Binary Window,0.6360339887498948,0.01799999999999998,0.18,0.0,0.0,4096,0.18166389190912524,0.0,0.9986431478968792,0.3909814323607427,0.96240234375,0.07958984375,0.0,0.24727814378542418,0.07300476978943028
golden,phi_anchor,binary_baseline,Binary Window,0.6420339887498948,0.02399999999999998,0.18,0.0,0.0,4096,0.4951449678922769,0.0,1.0,0.3907741251325557,0.964111328125,0.0791015625,0.0,0.3413657559926831,0.19805798715691078
golden,phi_anchor,binary_baseline,Binary Window,0.6480339887498948,0.029999999999999978,0.18,0.0,0.0,4096,0.5268302197983539,0.0,1.0,0.3908777512596129,0.9638671875,0.079345703125,0.0,0.35082250343950616,0.21073208791934156
golden,phi_anchor,binary_baseline,Binary Window,0.6540339887498947,0.035999999999999976,0.18,0.0,0.0,4096,0.4716448681474795,0.0,1.0,0.3907741251325557,0.962646484375,0.0791015625,0.0,0.33402275731924386,0.18865794725899182
golden,phi_anchor,binary_baseline,Binary Window,0.6600339887498947,0.041999999999999975,0.18,0.0,0.0,4096,0.4526769907629129,0.0,1.0,0.3907741251325557,0.963623046875,0.0791015625,0.0,0.32852770660387387,0.18107079630516518
golden,phi_anchor,binary_baseline,Binary Window,0.6660339887498947,0.04799999999999997,0.18,0.0,0.0,4096,0.15888767269160076,0.0,1.0,0.4007401533174729,0.964111328125,0.076416015625,0.0,0.24048856743248023,0.06355506907664031
golden,phi_anchor,binary_baseline,Binary Window,0.6720339887498947,0.05399999999999997,0.18,0.0,0.0,4096,0.529442908890337,0.0,1.0,0.3913043478260869,0.964111328125,0.0791015625,0.0,0.3516551382921011,0.2117771635561348
golden,phi_anchor,binary_baseline,Binary Window,0.6780339887498947,0.05999999999999997,0.18,0.0,0.0,4096,0.497290124914891,0.0,0.9986449864498645,0.3913043478260869,0.964599609375,0.0791015625,0.0,0.3424050623304971,0.19925480335349027
golden,phi_anchor,binary_baseline,Binary Window,0.5580339887498948,-0.06,0.18,0.0,0.011,4096,0.5113447994102625,0.0,1.0,0.39120063609859523,0.963623046875,0.078857421875,0.0,0.3461280491980787,0.204537919764105
golden,phi_anchor,binary_baseline,Binary Window,0.5640339887498947,-0.054,0.18,0.0,0.011,4096,0.4824110804801902,0.0,1.0,0.3908777512596129,0.9638671875,0.079345703125,0.0,0.33749676164405706,0.1929644321920761
golden,phi_anchor,binary_baseline,Binary Window,0.5700339887498947,-0.048,0.18,0.0,0.011,4096,0.47443352750451384,0.0,1.0,0.3905670376258612,0.96435546875,0.07861328125,0.0,0.33520115200135414,0.18977341100180556
golden,phi_anchor,binary_baseline,Binary Window,0.5760339887498948,-0.042,0.18,0.0,0.011,4096,0.5408426683938787,0.0,1.0,0.3907741251325557,0.964599609375,0.0791015625,0.0,0.35517272239316366,0.2163370673575515
golden,phi_anchor,binary_baseline,Binary Window,0.5820339887498948,-0.036000000000000004,0.18,0.0,0.011,4096,0.15991829055320306,0.0,1.0,0.3920424403183024,0.963623046875,0.07958984375,0.0,0.24070009654096094,0.06396731622128123
golden,phi_anchor,binary_baseline,Binary Window,0.5880339887498948,-0.030000000000000006,0.18,0.0,0.011,4096,0.3447002302016632,0.0,1.0,0.3903473879607531,0.96435546875,0.079345703125,0.0,0.29628116281049893,0.1378800920806653
golden,phi_anchor,binary_baseline,Binary Window,0.5940339887498948,-0.024000000000000007,0.18,0.0,0.011,4096,0.1672210228876142,0.0,0.9986431478968792,0.3908777512596129,0.962646484375,0.079345703125,0.0,0.24299411120397083,0.06722762218082587
golden,phi_anchor,binary_baseline,Binary Window,0.6000339887498948,-0.01800000000000001,0.18,0.0,0.011,4096,0.4640543732791327,0.0,1.0,0.3916269210386858,0.964111328125,0.07861328125,0.0,0.3320385776087398,0.1856217493116531
golden,phi_anchor,binary_baseline,Binary Window,0.6060339887498948,-0.01200000000000001,0.18,0.0,0.011,4096,0.48637625804594176,0.0,1.0,0.3902439024390244,0.961181640625,0.0791015625,0.0,0.3381492055387826,0.19455050321837672
