name,family,alpha,window_type,window_size,phase,balance_score,balance_spread,complexity_ratio,complexity_deviation,periodicity_match,best_period,write_count,witness_count,release_count,pollution,delayed_retention,compression_score,compression_score_cap,composite_score
bronze,bronze,0.30277563773199456,single,0.34,0.0,0.2727272727272727,3.0,0.2721072582271615,0.6945211354302263,0.0,257,3412.0,683.0,1.0,0.0008792497069167644,0.0,12.00145121855036,45.010989010989015,3.2833710622812795
bronze,bronze,0.30277563773199456,single,0.34,0.17,0.2727272727272727,3.0,0.2721072582271615,0.6945211354302263,0.0,257,3412.0,683.0,1.0,0.0008792497069167644,0.0,12.00145121855036,45.010989010989015,3.2833710622812795
bronze,bronze,0.30277563773199456,single,0.47,0.0,0.18181818181818182,3.0,0.2721072582271615,0.6945211354302263,0.0,257,2478.0,1618.0,0.0,0.0012106537530266344,1.0,10.220667884002353,45.010989010989015,4.081439825605969
bronze,bronze,0.30277563773199456,single,0.47,0.17,0.18181818181818182,3.0,0.2721072582271615,0.6945211354302263,0.0,257,2478.0,1618.0,0.0,0.0012106537530266344,1.0,10.220667884002353,45.010989010989015,4.081439825605969
bronze,bronze,0.30277563773199456,moving,0.2,0.0,0.2727272727272727,3.0,0.21244816731807054,0.567248408157499,0.0,257,2268.0,1827.0,1.0,0.0004409171075837742,1.0,10.370253938098141,45.010989010989015,4.392962132831911
bronze,bronze,0.30277563773199456,moving,0.2,0.17,0.2727272727272727,3.0,0.21244816731807054,0.567248408157499,0.0,257,2268.0,1827.0,1.0,0.0004409171075837742,1.0,10.370253938098141,45.010989010989015,4.392962132831911
bronze,bronze,0.30277563773199456,moving,0.34,0.0,0.18181818181818182,3.0,0.2721072582271615,0.6945211354302263,0.0,257,2422.0,1674.0,0.0,0.0012386457473162675,0.0,10.646364491254467,45.010989010989015,3.086140641138528
bronze,bronze,0.30277563773199456,moving,0.34,0.17,0.18181818181818182,3.0,0.2721072582271615,0.6945211354302263,0.0,257,2422.0,1674.0,0.0,0.0012386457473162675,0.0,10.646364491254467,45.010989010989015,3.086140641138528
bronze,bronze,0.30277563773199456,moving,0.47,0.0,0.18181818181818182,4.0,0.2721072582271615,0.6945211354302263,0.0,257,2939.0,1157.0,0.0,0.0010207553589656345,1.0,11.617667418156417,45.010989010989015,3.797148151442415
bronze,bronze,0.30277563773199456,moving,0.47,0.17,0.18181818181818182,4.0,0.2721072582271615,0.6945211354302263,0.0,257,2939.0,1157.0,0.0,0.0010207553589656345,1.0,11.617667418156417,45.010989010989015,3.797148151442415
bronze,bronze,0.30277563773199456,double,0.2,0.0,0.2727272727272727,2.0,0.20818680368170692,0.5391098800189709,0.005555555555555556,180,3889.0,207.0,0.0,0.024427873489328875,0.0,12.897633945842323,45.010989010989015,3.7196332931621323
bronze,bronze,0.30277563773199456,double,0.2,0.17,0.2727272727272727,2.0,0.20818680368170692,0.5391098800189709,0.005555555555555556,180,3889.0,207.0,0.0,0.024427873489328875,0.0,12.897633945842323,45.010989010989015,3.7196332931621323
bronze,bronze,0.30277563773199456,double,0.34,0.0,0.18181818181818182,3.0,0.23801634913625236,0.6414908323999232,0.005555555555555556,180,3005.0,869.0,222.0,0.0009983361064891847,0.6706948640483383,10.222314476800333,45.010989010989015,3.7998400457844568
