name,family,alpha,window_size,phase,window_mode,drift_scale,balance_score,balance_spread,complexity_ratio,complexity_deviation,periodicity_match,best_period,tradeoff_score
near_golden_m0_020,near_golden,0.5980339887498948,0.34,0.0,double,0.0,0.09090909090909091,4.0,0.2721072582271615,0.6945211354302263,0.0196078431372549,51,1.8230593203587855
near_golden_m0_020,near_golden,0.5980339887498948,0.34,0.17,moving,0.03,0.18181818181818182,3.0,0.23801634913625236,0.6414908323999232,0.0,257,2.295385523567342
near_golden_m0_020,near_golden,0.5980339887498948,0.34,0.17,moving,0.07,0.18181818181818182,3.0,0.23801634913625236,0.6414908323999232,0.0,257,2.295385523567342
near_golden_m0_020,near_golden,0.5980339887498948,0.34,0.17,moving,0.11,0.09090909090909091,3.0,0.2294936218635251,0.60815749906659,0.0,257,2.1890218872037055
near_golden_m0_020,near_golden,0.5980339887498948,0.34,0.17,double,0.0,0.09090909090909091,4.0,0.2721072582271615,0.6945211354302263,0.0196078431372549,51,1.8230593203587855
near_golden_m0_020,near_golden,0.5980339887498948,0.47,0.0,moving,0.03,0.2727272727272727,2.0,0.2721072582271615,0.6945211354302263,0.0,257,2.5840218872037055
near_golden_m0_020,near_golden,0.5980339887498948,0.47,0.0,moving,0.07,0.36363636363636365,3.0,0.2721072582271615,0.6945211354302263,0.0,257,2.5203855235673416
near_golden_m0_020,near_golden,0.5980339887498948,0.47,0.0,moving,0.11,0.45454545454545453,2.0,0.2721072582271615,0.6945211354302263,0.0,257,2.856749159930978
near_golden_m0_020,near_golden,0.5980339887498948,0.47,0.0,double,0.0,0.09090909090909091,4.0,0.2721072582271615,0.6945211354302263,0.0,257,1.9112946144764327
near_golden_m0_020,near_golden,0.5980339887498948,0.47,0.17,moving,0.03,0.2727272727272727,2.0,0.2721072582271615,0.6945211354302263,0.0,257,2.5840218872037055
near_golden_m0_020,near_golden,0.5980339887498948,0.47,0.17,moving,0.07,0.36363636363636365,3.0,0.2721072582271615,0.6945211354302263,0.0,257,2.5203855235673416
near_golden_m0_020,near_golden,0.5980339887498948,0.47,0.17,moving,0.11,0.45454545454545453,2.0,0.2721072582271615,0.6945211354302263,0.0,257,2.856749159930978
near_golden_m0_020,near_golden,0.5980339887498948,0.47,0.17,double,0.0,0.09090909090909091,4.0,0.2721072582271615,0.6945211354302263,0.0,257,1.9112946144764327
near_golden_m0_010,near_golden,0.6080339887498948,0.2,0.0,moving,0.03,0.2727272727272727,2.0,0.2294936218635251,0.60815749906659,0.0,257,2.661749159930978
near_golden_m0_010,near_golden,0.6080339887498948,0.2,0.0,moving,0.07,0.18181818181818182,3.0,0.2294936218635251,0.60815749906659,0.0,257,2.3253855235673417
near_golden_m0_010,near_golden,0.6080339887498948,0.2,0.0,moving,0.11,0.09090909090909091,3.0,0.2268302695907978,0.5646149305240213,0.0,257,2.2282101988920173
near_golden_m0_010,near_golden,0.6080339887498948,0.2,0.0,double,0.0,0.36363636363636365,2.0,0.1975333945907978,0.48142589733498825,0.0,257,2.912171237853056
near_golden_m0_010,near_golden,0.6080339887498948,0.2,0.17,moving,0.03,0.2727272727272727,2.0,0.2294936218635251,0.60815749906659,0.0,257,2.661749159930978
near_golden_m0_010,near_golden,0.6080339887498948,0.2,0.17,moving,0.07,0.18181818181818182,3.0,0.2294936218635251,0.60815749906659,0.0,257,2.3253855235673417
