anchor,anchor_family,model,model_label,alpha,offset,window_width,phase,beta,length,max_closure_age,memory_capacity,write_count,release_count,witness_expired,delayed_retention,pollution,witness_conversion,mean_closure_latency,return_interval_diversity,phase_lock_resistance,symmetry_balance,rigidity_after_perturbation,center_share,composite_score,surrogate_base_score
golden,phi_anchor,flat_ternary,Flat Ternary,0.6060339887498948,-0.01200000000000001,0.18,0.0,0.011,4096,13,34,202.0,3478.0,0.0,1.0,0.0,0.3268608414239482,5.267326732673268,0.890430021058547,0.5610413575232425,0.9935275080906149,0.96875,0.84912109375,0.9651833905245986,0.7295890130142131
golden,phi_anchor,flat_ternary,Flat Ternary,0.6120339887498948,-0.006000000000000012,0.18,0.0,0.011,4096,13,34,109.0,3473.0,0.0,0.9732142857142857,0.0,0.17495987158908508,3.0,0.0,0.6075593764024978,0.9951845906902087,0.969482421875,0.847900390625,0.857270436584895,0.7105629648628846
golden,phi_anchor,flat_ternary,Flat Ternary,0.6180339887498948,-1.3877787807814457e-17,0.18,0.0,0.011,4096,13,34,287.0,3477.0,0.0,0.9930795847750865,0.0,0.46365105008077545,6.693379790940766,0.721049126620851,0.4024136382871485,0.9983844911147012,0.96728515625,0.848876953125,0.9170927626120143,0.6983401097691943
golden,phi_anchor,flat_ternary,Flat Ternary,0.6240339887498948,0.0059999999999999845,0.18,0.0,0.011,4096,13,34,266.0,3476.0,0.0,1.0,0.3684210526315789,0.4290322580645161,5.609022556390977,0.5934539055886385,0.5788971135855898,0.9935483870967742,0.968505859375,0.8486328125,0.8862400103956002,0.6803666145443976
golden,phi_anchor,flat_ternary,Flat Ternary,0.6300339887498948,0.011999999999999983,0.18,0.0,0.011,4096,13,34,276.0,3508.0,0.0,0.9963898916967509,0.13043478260869565,0.46938775510204084,3.4057971014492754,0.480304716778888,0.32129163349482237,0.9931972789115646,0.9716796875,0.8564453125,0.841489468833425,0.646631164459958
golden,phi_anchor,flat_ternary,Flat Ternary,0.6360339887498948,0.01799999999999998,0.18,0.0,0.011,4096,13,34,196.0,3537.0,0.0,0.98989898989899,0.0,0.35062611806797855,5.0,0.0,0.25657221199441194,0.9946332737030411,0.964599609375,0.863525390625,0.7737105951247054,0.6275189705020534
golden,phi_anchor,flat_ternary,Flat Ternary,0.6420339887498948,0.02399999999999998,0.18,0.0,0.011,4096,13,34,276.0,3478.0,0.0,0.9963898916967509,0.2391304347826087,0.44660194174757284,4.760869565217392,0.13629964889008592,0.5816700066282428,1.0,0.969482421875,0.84912109375,0.8698974415632428,0.7093192344867342
golden,phi_anchor,flat_ternary,Flat Ternary,0.6480339887498948,0.029999999999999978,0.18,0.0,0.011,4096,13,34,286.0,3476.0,0.0,1.0,0.0034965034965034965,0.4612903225806452,6.688811188811189,0.1461474344821563,0.5577380433835366,0.9967741935483871,0.967041015625,0.8486328125,0.9131214468037528,0.7519638921156179
golden,phi_anchor,flat_ternary,Flat Ternary,0.6540339887498947,0.035999999999999976,0.18,0.0,0.011,4096,13,34,306.0,3476.0,0.0,0.996742671009772,0.8954248366013072,0.4935483870967742,6.0,0.1278274981199238,0.29672584846836825,1.0,0.96875,0.8486328125,0.6493862285311317,0.48972847871913927
golden,phi_anchor,flat_ternary,Flat Ternary,0.6600339887498947,0.041999999999999975,0.18,0.0,0.011,4096,13,34,295.0,3478.0,0.0,0.9966216216216216,0.576271186440678,0.4773462783171521,7.952542372881356,0.25459883834548314,0.6076647492687148,0.9967637540453075,0.96826171875,0.84912109375,0.8284524050261826,0.6563281616143689
golden,phi_anchor,flat_ternary,Flat Ternary,0.6660339887498947,0.04799999999999997,0.18,0.0,0.011,4096,13,34,215.0,3477.0,0.0,0.9953703703703703,0.0,0.3473344103392569,9.795348837209302,0.10627582593555775,0.5794312992295465,0.9983844911147012,0.96826171875,0.848876953125,0.8956035183271066,0.7382305393028158
golden,phi_anchor,flat_ternary,Flat Ternary,0.6720339887498947,0.05399999999999997,0.18,0.0,0.011,4096,13,34,0.0,3476.0,0.0,0.0,0.0,0.0,13.0,0.0,0.5045730540858453,1.0,0.96826171875,0.8486328125,0.5183810102641875,0.37155483838918746
golden,phi_anchor,flat_ternary,Flat Ternary,0.6780339887498947,0.05999999999999997,0.18,0.0,0.011,4096,13,34,0.0,3477.0,0.0,0.0,0.0,0.0,13.0,0.0,0.2905689461403579,0.8885298869143781,0.967529296875,0.848876953125,0.43997286572094063,0.2987934416877217
golden,phi_anchor,flat_ternary,Flat Ternary,0.5580339887498948,-0.06,0.24,0.0,0.0,4096,4,34,348.0,3272.0,0.0,1.0,0.0,0.4223300970873786,3.5344827586206895,0.23912392146944095,0.5716770860393141,0.9951456310679612,0.967529296875,0.798828125,0.9208122301169371,0.7503896267290949
golden,phi_anchor,flat_ternary,Flat Ternary,0.5640339887498947,-0.054,0.24,0.0,0.0,4096,4,34,300.0,3271.0,0.0,0.9966777408637874,0.0,0.36363636363636365,3.1266666666666665,0.31725330661361784,0.44283528361504676,0.9987878787878788,0.96923828125,0.798583984375,0.8736768620512775,0.6950883093255218
golden,phi_anchor,flat_ternary,Flat Ternary,0.5700339887498947,-0.048,0.24,0.0,0.0,4096,4,34,251.0,3271.0,0.0,1.0,0.12350597609561753,0.30424242424242426,2.5657370517928286,0.3510828013802476,0.5768026094188101,0.9987878787878788,0.9677734375,0.798583984375,0.8880003461743271,0.7061753283469083
golden,phi_anchor,flat_ternary,Flat Ternary,0.5760339887498948,-0.042,0.24,0.0,0.0,4096,4,34,335.0,3270.0,0.0,1.0,0.0,0.40556900726392253,2.316417910447761,0.2007746846079892,0.5635033159487257,1.0,0.966796875,0.79833984375,0.9113507046908718,0.7445935487300728
