flow,family,alpha,best_delay,best_slot_count,context_pressure,similarity_threshold,recall_window,recall_gain,layer_window,recency_decay,resonance_gain,field_radius,field_width,field_support_gain,field_competition_gain,split_threshold,witness_conversion,delayed_retention,release_rate,rupture_rate,recall_survival_rate,same_core_recall_rate,same_field_recall_rate,split_rate,context_distortion_rate,blocked_context_rate,field_overlap_rate,pollution,phase_lock_resistance,score
golden,phi,0.6180339887498948,13,13,0.04,0.78,21,0.08,8,0.55,0.14,5,1.8,0.14,0.04,0.36,0.7763157894736842,0.43703703703703706,0.005081874647092038,0.003952569169960474,0.33560477001703576,0.1737649063032368,0.33560477001703576,0.001135718341851221,0.0,0.6643952299829642,5.76171875,0.10029306414848584,0.43812437984039865,0.7511523554042819
golden,phi,0.6180339887498948,13,13,0.04,0.78,21,0.08,8,0.72,0.08,5,1.8,0.08,0.08,0.36,0.7215686274509804,0.4191343963553531,0.005081874647092038,0.0033879164313946925,0.3747870528109029,0.15843270868824533,0.3747870528109029,0.0034071550255536627,0.0,0.6252129471890971,5.76171875,0.0963855421686747,0.43782334667602507,0.7600878865299358
golden,phi,0.6180339887498948,13,13,0.04,0.78,21,0.08,8,0.72,0.14,3,1.2,0.14,0.08,0.36,0.7925925925925926,0.44214876033057854,0.005081874647092038,0.038396386222473176,0.3594994311717861,0.1626848691695108,0.3594994311717861,0.03811149032992037,0.0,0.6405005688282139,3.45703125,0.09605991533702377,0.4597060557354741,0.7558138801082203
golden,phi,0.6180339887498948,13,13,0.04,0.78,21,0.14,8,0.55,0.14,3,1.8,0.08,0.04,0.36,0.7940552016985138,0.44260355029585796,0.00564652738565782,0.04009034443817053,0.33276450511945393,0.15130830489192265,0.33276450511945393,0.03924914675767918,0.0,0.6672354948805461,3.45703125,0.10094431781178768,0.46179980273394816,0.7403534405407141
golden,phi,0.6180339887498948,13,13,0.04,0.78,21,0.2,8,0.72,0.08,5,1.8,0.08,0.04,0.36,0.8244514106583072,0.4518900343642612,0.005081874647092038,0.009034443817052512,0.37649063032367974,0.19363997728563317,0.37649063032367974,0.004542873367404884,0.0,0.6235093696763203,5.76171875,0.10582872028655162,0.44165032569963536,0.7827056097206877
golden,phi,0.6180339887498948,13,13,0.08,0.58,13,0.2,8,0.55,0.08,3,1.8,0.08,0.04,0.36,0.8712206047032475,0.4655894673847995,0.005081874647092038,0.05138339920948617,0.5031700288184437,0.17982708933717578,0.5031700288184437,0.047838616714697406,0.13890489913544668,0.4968299711815562,3.45703125,0.10582872028655162,0.46768989152157425,0.7892587769691595
golden,phi,0.6180339887498948,13,13,0.08,0.58,21,0.08,8,0.55,0.08,3,1.2,0.14,0.04,0.24,0.779107725788901,0.4379204892966361,0.004517221908526256,0.0722755505364201,0.5039817974971559,0.20420932878270762,0.5039817974971559,0.07281001137656427,0.14391353811149032,0.4960182025028441,3.45703125,0.09312927385216542,0.4691523173962798,0.7671799043209551
golden,phi,0.6180339887498948,13,13,0.08,0.58,21,0.14,8,0.55,0.14,5,1.8,0.14,0.04,0.24,0.7823275862068966,0.43893591293833134,0.007905138339920948,0.05815923207227555,0.49290176036342986,0.23509369676320271,0.49290176036342986,0.05281090289608177,0.14366837024417944,0.5070982396365701,5.76171875,0.09117551286225985,0.44731717792493597,0.7736614056067522
golden,phi,0.6180339887498948,13,13,0.08,0.58,21,0.14,8,0.72,0.14,3,1.8,0.08,0.08,0.24,0.8478260869565217,0.4588235294117647,0.004517221908526256,0.08356860530773574,0.5085324232081911,0.23037542662116042,0.5085324232081911,0.080773606370876,0.14391353811149032,0.49146757679180886,3.45703125,0.095083034842071,0.47773882751769936,0.7802963016720881
golden,phi,0.6180339887498948,13,13,0.08,0.58,21,0.14,13,0.72,0.08,3,1.2,0.14,0.04,0.36,0.8662921348314607,0.4641782059000602,0.005081874647092038,0.057029926595143984,0.5915813424345847,0.3225255972696246,0.5915813424345847,0.051194539249146756,0.14391353811149032,0.40841865756541523,3.45703125,0.10094431781178768,0.46782368873438585,0.8026268076658607
