flow,family,alpha,best_delay,best_slot_count,context_pressure,similarity_threshold,recall_window,recall_gain,sheath_gain,bleed_rate,split_threshold,witness_conversion,delayed_retention,release_rate,rupture_rate,recall_survival_rate,same_slot_recall_rate,split_rate,context_distortion_rate,blocked_context_rate,pollution,phase_lock_resistance,score
silver,metallic,0.43821356237309517,21,13,0.04,0.58,13,0.14,0.04,0.08,0.36,0.7551487414187643,0.4302477183833116,0.07914438502673797,0.10053475935828877,0.8032786885245902,0.8032786885245902,0.22131147540983606,0.0,0.19672131147540983,0.047215890589384565,0.5892637613223197,0.7298583467127742
silver,metallic,0.43821356237309517,21,13,0.04,0.58,13,0.14,0.12,0.08,0.36,0.735224586288416,0.42370572207084467,0.07058823529411765,0.1443850267379679,0.7128712871287128,0.7128712871287128,0.2376237623762376,0.0,0.2871287128712871,0.04233148811462065,0.5921317139345614,0.7406097611691026
silver,metallic,0.43821356237309517,21,13,0.04,0.58,21,0.08,0.08,0.04,0.24,0.698019801980198,0.4110787172011662,0.07807486631016043,0.18823529411764706,0.8295454545454546,0.8295454545454546,0.42045454545454547,0.0,0.17045454545454544,0.03842396613480951,0.5982398097912385,0.6858364637133966
silver,metallic,0.43821356237309517,21,13,0.04,0.58,21,0.08,0.12,0.08,0.36,0.6948717948717948,0.40998487140695916,0.0748663101604278,0.21818181818181817,0.7904191616766467,0.7904191616766467,0.24550898203592814,0.0,0.20958083832335328,0.040377727124715074,0.5976516240075211,0.7113114103588489
silver,metallic,0.43821356237309517,21,13,0.04,0.58,21,0.14,0.08,0.08,0.36,0.7234567901234568,0.4197707736389685,0.06951871657754011,0.1839572192513369,0.825136612021858,0.825136612021858,0.26229508196721313,0.0,0.17486338797814208,0.04005210029306415,0.5939527737698327,0.7036634927661825
silver,metallic,0.43821356237309517,21,13,0.04,0.58,21,0.14,0.08,0.12,0.24,0.7060301507537688,0.41384388807069217,0.07379679144385026,0.2,0.8176795580110497,0.8176795580110497,0.4585635359116022,0.0,0.18232044198895028,0.039400846629762294,0.6011559373513293,0.6900804000143232
silver,metallic,0.43821356237309517,21,13,0.04,0.68,13,0.08,0.04,0.08,0.36,0.7539149888143176,0.4298469387755102,0.0748663101604278,0.08663101604278074,0.6230769230769231,0.6230769230769231,0.15384615384615385,0.0,0.3769230769230769,0.047215890589384565,0.5906401605771456,0.7877625755872378
silver,metallic,0.43821356237309517,21,13,0.04,0.78,13,0.08,0.08,0.04,0.36,0.7657657657657657,0.4336734693877551,0.07272727272727272,0.08877005347593583,0.44,0.44,0.152,0.0,0.56,0.046890263757733634,0.5918108753746327,0.7906859928662897
silver,metallic,0.43821356237309517,21,13,0.04,0.78,13,0.2,0.08,0.12,0.24,0.7626728110599078,0.4326797385620915,0.07700534759358289,0.10481283422459893,0.4830508474576271,0.4830508474576271,0.3050847457627119,0.0,0.5169491525423728,0.048518397915988276,0.593015832824197,0.740417972531986
silver,metallic,0.43821356237309517,21,13,0.04,0.78,21,0.08,0.12,0.04,0.24,0.6933962264150944,0.40947075208913647,0.06737967914438503,0.16470588235294117,0.46938775510204084,0.46938775510204084,0.2653061224489796,0.0,0.5306122448979592,0.042005861282969716,0.5988478369264731,0.7382531874030381
